[2017-02-08 05:52:00] main.DEBUG: cache_invalidate:  {"method":"GET","url":"https://newtype.com.au/mens/bottoms.html","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-08 05:52:02] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-08 05:52:03] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-08 14:30:06] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_category","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-08 14:30:06] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_product","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-08 14:30:06] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["BLOCK_HTML","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-08 14:30:06] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_category","catalog_product","BLOCK_HTML"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-02-09 05:48:59] main.DEBUG: cache_invalidate:  {"method":"GET","url":"https://newtype.com.au/paypal/express/return/?token=EC-43T28331EB7904935&PayerID=DFZWD85U2YUXS","invalidateInfo":{"tags":["catalog_product_36","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-09 05:48:59] main.DEBUG: cache_invalidate:  {"method":"GET","url":"https://newtype.com.au/paypal/express/return/?token=EC-43T28331EB7904935&PayerID=DFZWD85U2YUXS","invalidateInfo":{"tags":["catalog_product_139","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-09 05:49:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"https://newtype.com.au/checkout/sidebar/removeItem/","invalidateInfo":{"identifier":"notification_update_customer_session_9"},"is_exception":false} []
[2017-02-09 05:53:01] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://newtype.com.au/admin/admin/index/index/key/5975f5adfc9eb0667836fa15500f6ced35b2b7298b42a0cb35554423073cc3b8/","invalidateInfo":{"tags":["BACKEND_MAINMENU"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-02-09 14:30:06] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_category","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-09 14:30:06] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_product","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-02-09 14:30:06] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["BLOCK_HTML","FPC"],"mode":"matchingTag"},"is_exception":false} []
